Artifact ID;Title;Description;Image Name;Model Name;Description Enriched;Location
0;Terracotta figurine of a monkey grinding grain;Terracotta figurines of a monkey grinding corn in the Museum of the University of Tübingen, Inv. 5703;terracotta_figurine_of_a_monkey_grinding_grain;Terracotta_figurine_of_a_monkey_grinding_grain;This set of terracotta figurines, housed at the Museum of the University of Tübingen, charmingly captures the whimsical scene of a monkey engaged in the act of grinding corn. Crafted from the earthy, reddish-brown clay typical of terracotta art, these figurines provide a delightful insight into the artistic and possibly humorous take on everyday activities in the past.\n\nThe depiction of the monkey, an animal not usually associated with agrarian tasks such as grinding corn, suggests a blend of creativity and cultural symbolism. It might represent satire or a lighthearted portrayal meant to amuse or provoke thought. The careful attention to detail in the figurines—seen in the defined fur texture and expressiveness of the monkey’s face—highlights the artisan's skill in bringing a mundane scene to life with a whimsical twist.\n\nThis artifact raises intriguing questions on the interaction between humans and animals in historical narratives and art, offering a charming yet profound glimpse into the past cultures that produced it. Such pieces were likely more than just decorative, they might have served as educational tools or held a place in ritual practices, reflecting deeper layers of meaning and utility.;19.432608, -99.133209
1;Terracotta figurine of a woman;Terracotta figurine of a woman in the Museum of the University of Tübingen, Inv. 5685;terracotta_figurine_of_a_woman;Terracotta_figurine_of_a_woman;This terracotta figurine, housed in the Museum of the University of Tübingen, depicts a woman crafted with meticulous attention to detail. The figurine, standing modestly in posture, portrays the woman in a draped garment, suggesting a depiction of common daily attire from the period. The style and finish hint at its origin from the classical era, where such artifacts were often used in domestic and religious contexts. \n\nThe texture and color of the terracotta lend the piece a rustic charm, typical of the material's earthy quality. This figurine is not only an artistic representation but also serves as a window into the socio-cultural dynamics of the era it represents. The depiction of the woman, possibly a goddess or an ordinary citizen, provides insights into the fashion, social status, and role of women in historical settings.\n\nThis piece, like many terracotta figures of its time, might have served various purposes, including religious offerings or as part of household decor, reflecting both the artistic sensibilities and spiritual or domestic priorities of the period. The modest size of the figurine suggests that it was designed for personal enjoyment or ritual use, rather than for public display, adding a touch of intimate cultural connection to its historical narrative.;37.983810, 23.727539
2;Small terracotta figurine of a veiled woman;Terracotta figurine of a veiled woman in the Museum of the University of Tübingen, Inv. 5459;small_terracotta_figurine_of_a_veiled_woman;Small_terracotta_figurine_of_a_veiled_woman;This terracotta figurine, housed in the Museum of the University of Tübingen, represents an exquisite example of ancient craftsmanship and cultural expression. The figurine depicts a veiled woman, a subject that resonates with symbolism and hints at the societal roles of women in the period it was created. The use of terracotta, a material made from fine clay, suggests that the artifact might have been accessible to a wide range of social classes, further emphasizing its potential role in everyday domestic settings or in ritual contexts.\n\nThe veiling of the figure could suggest modesty or signify a specific social or religious role, possibly linking the figure to ancient rituals or ceremonies involving women. The delicate modeling of the veil over the woman's face and the detailed execution of her attire highlight the skill of the artisan and the importance of this figure within the community it originated from.\n\nThis figurine not only offers a glimpse into the artistic practices of the time but also serves as a window into understanding gender dynamics and religious life in its original cultural and historical setting. The preservation of this terracotta piece allows current and future generations to connect with and reflect on the lives of those in the distant past, making it an invaluable artifact in the study of human history.;34.802075, 38.996815
3;Male terracotta figurines;Male terracotta figurines holding a cock in the Museum of the University of Tübingen, Inv. 7375;male_terracotta_figurines;Male_terracotta_figurines;This evocative terracotta figurine, housed in the Museum of the University of Tübingen, portrays a male figure intricately holding a cock. The figurine is a notable example of craftsmanship from the ancient world, likely dating back to the classical periods of Mediterranean archaeology. The precise details carved into the terracotta, from the expressive stance of the male figure to the delicate features of the cock, underscore the artisans' skill and attention to life-like representations.\n\nThe object possibly served a religious or ceremonial purpose, suggesting a symbolic relationship between the man and the cock, which may have been viewed as a talisman for strength or fertility in ancient cultures. Alternatively, it could have been part of a larger narrative scene, contributing to our understanding of the cultural and social practices of the time. This artifact not only offers a glimpse into the artistic practices of its era but also provides valuable insights into the symbolic and functional aspects of everyday items in ancient societies.;37.983810, 23.727539
4;Pinax with depiction of Zeus;Pinax with depiction of Zeus in the Museum of the University of Tübingen, Inv. 1478;pinax_with_depiction_of_zeus;Pinax_with_depiction_of_zeus;This pinax, housed in the Museum of the University of Tübingen, features a striking depiction of Zeus, the supreme deity of Greek mythology. A pinax is typically a votive tablet used in ancient times, often made of wood, terracotta, or bronze, and served as an offering dedicated to divine or sacred figures. The portrayal of Zeus in this artifact is emblematic of his status as the powerful god of the sky, thunder, and lightning.\n\nThe artistic representation captures Zeus in a dynamic pose, possibly wielding his iconic thunderbolt, which signifies his role as the arbiter of justice and the bringer of order. This artefact not only provides insight into the religious practices and artistic expressions of the era but also reflects the deep reverence and admiration for Zeus as a central figure in Greek mythology.\n\nThe pinax has been preserved excellently, allowing viewers to appreciate the details of the craftsmanship and the aesthetic styles prevalent during the period it was created. Such artifacts are invaluable in understanding the sort of religious devotion and cultural importance attributed to mythological figures in ancient Greece. This piece, in particular, helps illuminate the complex relationship between divinity and artistry in the ancient world.;37.983810, 23.727539
5;Pomegranate;Terrcotta pomegranate in the Museum of the University of Tübingen;pomegranate;Pomegranate;This terracotta pomegranate is an exquisite example of the artistic and symbolic expressions found in ancient civilizations. Originating from the extensive collection at the Museum of the University of Tübingen, this artifact reflects the craftsmanship and aesthetic sensibilities of its creators.\n\nCrafted from earthy terracotta, the pomegranate figurine likely served as a ritual object or a symbol of fertility and rebirth, themes commonly associated with this fruit in various ancient cultures. Its detailed rendering, from the rounded base to the delicate ridges mimicking the natural form, highlights the skill and attention to detail of the artisan. \n\nThis artifact not only enriches our understanding of the cultural significance of everyday objects in ancient societies but also serves as a testament to the complex symbolic world they inhabited. It provides a tangible connection to the past, bridging millennia through the universal language of art and symbolism.;34.802075, 38.996815
6;Female terracotta head from an Etruscan Tomb;Female terracotta head from an Etruscan Tomb in the Museum of the University of Tübingen, Inv. 89.8507;female_terracotta_head_from_an_etruscan_tomb;Female_terracotta_head_from_an_etruscan_tomb;This intriguing artifact is a female terracotta head, originally discovered in an Etruscan tomb. Distinctive of the Etruscan art from ancient Italy, this piece marks its cultural richness through its craftsmanship and aesthetic style. Now housed in the Museum of the University of Tübingen, this artifact continues to captivate scholars and enthusiasts alike.\n\nTerracotta, a material commonly used by the Etruscans, was often chosen for its versatility and durability, making it suitable for both functional and decorative purposes. The detailed moldwork on the head suggests a high level of artistic skill, indicative of the Etruscan mastery in ceramic arts. Features such as the hairstyle and facial expression were finely crafted to reflect the styles and beauty ideals of that era.\n\nMoreover, this artifact serves as a valuable link to understanding the societal roles and statuses of women in ancient Etruscan culture. The Etruscans were known for the relatively higher status they afforded to women compared to their contemporaries, which is reflected in the care and detail bestowed upon female figurative art.\n\nThe discovery of this head in a tomb also underscores the Etruscan practices related to the afterlife, where such artifacts were believed to accompany the deceased, serving both as a representation of their earthly life and a provision for the life hereafter. This piece not only enriches our understanding of Etruscan artistic conventions but also provides insight into the broader sociocultural context of the time.;42.833333, 12.833333
7;Terracotta figurine of a veiled woman;Terracotta figurine of a veiled woman in the Museum of the University of Tübingen, Inv. 7320;terracotta_figurine_of_a_veiled_woman;Terracotta_figurine_of_a_veiled_woman;This captivating terracotta figurine represents a veiled woman, an artistic embodiment that has been preserved through centuries and now rests within the collection of the Museum of the University of Tübingen. Crafted from the rich, earthy clay of terracotta, the figure exudes an aura of grace and mystery attributed to its delicate portrayal.\n\nThe veiled woman, an often recurring subject in ancient art, symbolizes various aspects of cultural and societal norms of the period it comes from. The presence of the veil might suggest themes of modesty, sanctity, or even mourning, depending on the specific cultural and historical context. Such figurines were popular in domestic shrines, used in personal worship as well as in rituals aimed at invoking protection and blessings upon the household.\n\nThe soft modeling of the face under the veil in this figurine, along with the gentle draping of the fabric, showcases the artisan's skill in capturing both form and emotion. The details, possibly painted or incised at the time of creation, might have worn off over the millennia, yet the craftsmanship still speaks eloquently to the observer.\n\nWhile the exact origin and date of this artifact remain steeped in history, it provides a tangible connection to the past civilizations that valued such objects not only for religious and ceremonial purposes but also as a form of artistic expression. Each viewing offers a glimpse into the life and times of those ancient peoples, making this terracotta figurine a significant piece in the Museum of the University of Tübingen’s collection.;34.802075, 38.996815
8;Carved gourd;Carved gourd (mate burilado) in the Bonn Collection of the Americas at the University of Bonn (Inv. Schu 18). This object is called a “gourd” or “calabaza” in Spanish. The gourd is engraved with various designs and motifs. The originating culture associated with this engraved gourd is the Wanka (Huanca) community. The gourd originated from Cochas Chico, Huancayo, Peru. I dates to the second half of the 20th century. It belongs to the collection of Johanna Schupp.;carved_gourd;Carved_gourd;This meticulously carved gourd, known as mate burilado, is a fascinating example of the traditional artistry of the Wanka (Huanca) community from Cochas Chico, Huancayo, Peru. Originating in the latter half of the 20th century, this artifact showcases the rich cultural heritage and expert craftsmanship prevalent in the region. \n\nIn Spanish, such objects are often referred to as calabaza, but this particular piece stands out due to its intricate engravings. The surface of the gourd is adorned with a variety of designs and motifs, each telling its own story and giving insight into the values and everyday life of the Wanka people. These motifs likely hold significant cultural symbolism, often related to natural elements, community aspects, or spiritual beliefs.\n\nNow housed in the Bonn Collection of the Americas at the University of Bonn, this mate burilado is part of a collection gathered by Johanna Schupp. It is a captivating cultural artifact, offering both aesthetic enjoyment and cultural education, allowing for a tangible connection to the historical and social contexts of the Wanka community.;-12.065556, -75.204167
9;Geometric bowl from Athens;Bowl in the Academic Art Museum of the University of Bonn (Inv. Nr. 10). The bowl, found in Athens supposedlyat the Dipylon gatre an dated between 750 and 735 BC, was produced in Attica. The vessel is characterized by a steep rim and horizontal strap handles. The upper wall part is divided into metopes with stars, capricorns, swastikas and checkerboard patterns. The broad stripe between the handles is divided into three metopes: the middle one shows zig-zag bands and the side ones birds. The handle is also decorated with a zig-zag band.;geometric_bowl_from_athens;Geometric_bowl_from_athens;This exquisite bowl, housed in the Academic Art Museum of the University of Bonn, is a remarkable artifact presumably discovered at the historic Dipylon gate in Athens. Dating back to the period between 750 and 735 BC, this vessel is a testament to the artistic craftsmanship prevalent in Attica during the early phase of the Geometric period of Greek art.\n\nThe bowl features a distinctive steep rim and horizontal strap handles, which not only add to its aesthetic appeal but also highlight the functional design techniques of the time. The surface of the bowl is intricately adorned, turning the vessel into a canvas of ancient symbolic motifs. \n\nThe upper wall of the bowl is neatly divided into metopes — a term originally used to describe the decorated spaces between the triglyphs in Doric friezes. Each metope on this bowl is filled with different symbolic decorations: stars, capricorns, swastikas, and checkerboard patterns, which were widely utilized motifs in Geometric art and may have held specific meanings, possibly related to protection, fertility, and the cosmos.\n\nA particularly striking feature is the broad stripe located between the handles, which is segmented into three metopes. The center metope showcases a dynamic pattern of zig-zag bands, while the flanking metopes depict birds — a theme that resonates with the importance of nature and possibly spiritual symbolism in ancient Greek culture. Even the handles of the bowl are meticulously decorated with a zig-zag band, ensuring that every aspect of this artifact is imbued with aesthetic significance.\n\nThis ancient Greek bowl not only serves as a utilitarian object but also as a profound piece of art, revealing much about the cultural and artistic orientations of ancient Athens during its early history. Its presence in the museum today offers invaluable insights into the sophistication and depth of ancient Greek ceramic artistry.;37.984200, 23.728100
10;Protogeometric Lekythos from Athens;Protogeometric Lekythos from Athens in the Academic Art Museum Bonn (Inv. Nr. 997);protogeometric_lekythos_from_athens;Protogeometric_lekythos_from_athens;This lekythos, originating from ancient Athens, dates back to the Protogeometric period, a phase in Greek art that spanned roughly from 1050 to 900 BC. Characteristic of this era, the vessel showcases the early use of geometric motifs that would become more complex in subsequent periods. \n\nThe lekythos, a type of pottery used primarily for storing and pouring oil, especially fine scented oils that were often used for personal grooming or in funerary rites, exhibits a slender body and a narrow neck which elegantly tapers to meet a pointed mouth. This form made it ideal for its purpose, allowing for controlled dispensing of liquids. \n\nThe artifact's surface is adorned with concentric circles and linear patterns, typically executed in a dark pigment on a light clay background. These decorations are not merely ornamental but also hold significant cultural implications, symbolizing order and harmony in the universe, themes that resonated deeply in Greek philosophy and cosmology.\n\nCurrently housed in the Academic Art Museum in Bonn, this lekythos is not just a utilitarian vessel, it is a window into the daily life and spiritual practices of early Greeks, reflecting both artistic innovation and cultural values of the Protogeometric period.;37.983810, 23.727539
11;Corinthian bowl;Corinthian bowl in the Academic Art Museum Bonn (Inv. Nr. 1674). The bowl is dated around 575 BC and, together with other vessels of the same group, belongs to the heyday of the archaic pottery production in Corinth. Its findspot is not known. The very thin-walled vessel has a low foot, a bulbous body, a sharply set off rim and horizontally attached handles. The body shows a circumferential frieze with groups of two or three fighting warriors on the side and horsemen galloping to the left on the other side. Underneath the handles a swan and a flying eagle are depicted. Rosettes fill the empty spaces between the figures.;corinthian_bowl;Corinthian_bowl;This exceptional Corinthian bowl, housed at the Academic Art Museum in Bonn, represents a pinnacle of archaic pottery production from Corinth, dating back to around 575 BC. Despite the mystery surrounding its findspot, the bowl's intricacies tell a story of a rich artistic endeavor during this time period.\n\nThe vessel is characterized by its remarkably thin walls, a testament to the sophisticated techniques employed by Corinthian potters. It rests on a low foot, supporting a bulbous body that transitions smoothly to a sharply defined rim. The horizontally attached handles not only serve a functional purpose but also contribute to the aesthetic harmony of the piece. \n\nThe decorative scheme of the bowl is a vivid narrative panel, presenting a dynamic frieze that encircles the vessel. On one side, the bowl features meticulously portrayed scenes of combat with groups of two or three warriors engaged in battle, showcasing the tumult and vigor typical of such depictions in Corinthian pottery. Opposite this, horsemen are illustrated galloping to the left, their movements captured with a sense of both motion and grace. This portrayal of horsemen is particularly noteworthy as it reflects the societal value placed on horses and their riders during the period.\n\nBeneath the handles, the imagery shifts to the animal kingdom with the representation of a swan and a flying eagle, each rendered with attention to detail that breathes life into these creatures. The use of rosettes to fill the empty spaces between figures is a decorative motif that adds a final flourish to the design, integrating elements of nature with human and animal activities.\n\nTogether, these features make this Corinthian bowl not only a valuable piece of ancient craftsmanship but also a captivating visual record of the cultural and artistic norms of its era. This artifact remains an invaluable resource for understanding the artistic expressions and societal values of ancient Corinth.;37.903056, 22.874722
12;Attic red-figure Pelike;Attic red-figure Pelike in the Academic Art Museum Bonn (Inv. Nr. 75);attic_red-figure_pelike;Attic_red-figure_pelike;This Attic red-figure Pelike, housed in the Academic Art Museum in Bonn, is an exemplary artifact from ancient Greece, specifically from the Attic region. Dating back to the classical period, this pelike is a type of storage vessel, traditionally used for storing oil and wine. Its red-figure style, popularized in Athens around 530 BCE, involves figures in red, contrasting against a black background, achieved through a sophisticated process of firing the pottery.\n\nThe artwork on this particular pelike likely depicts scenes from daily life or mythology, which remain vibrant on the ceramic surface despite the passage of centuries. Such vessels not only served practical functions but also held great artistic and cultural significance, often being used in domestic contexts or as grave offerings. The craftsmanship evident in the form and decoration showcases the advanced techniques of ancient Greek potters and painters, making it a treasured piece in the museum's collection for both its aesthetic qualities and its historical value.;37.9838, 23.7275
13;Attic black-figure Amphora;Attic black-figure Amphora in the Academic Art Museum Bonn (Inv. Nr. 44);attic_black-figure_amphora;Attic_black-figure_amphora;This Attic black-figure amphora, a precious artifact housed in the Academic Art Museum in Bonn, displays the exquisite craftsmanship of ancient Greek pottery. Originating from the region of Attica, the birthplace of black-figure technique around the 7th century BC, this amphora is a remarkable testament to the artistic and cultural practices of that era.\n\nThe amphora stands as a classic example of Greek vase painting, where silhouetted figures are rendered in black glaze against a natural clay background. This technique, which involved using a slip to paint images on the pottery that turned black during firing, allowed for intricate, detailed designs, often depicting mythological scenes, everyday Greek life, and athletic contests.\n\nWhat distinguishes this particular amphora are the scenes illustrated on its broad body. These images not only served as decorative elements but also conveyed stories and symbols important to the contemporary viewer, potentially serving educational or celebratory functions within the community.\n\nOften used for storing and transporting oils, wines, and grains, amphorae like this one played a crucial role in Greek trade and daily life, being both utilitarian and a vehicle for artistic expression. Today, this amphora not only provides insights into ancient techniques and aesthetics but also into the social and economic contexts of ancient Greece. Its preservation and display continue to fascinate and educate those interested in the rich tapestry of human history woven through everyday objects.;37.983810, 23.727539
14;Corinthian Oinochoe;Corinthian oinochoe in the Academic Arts Museum of the University of Bonn (Inv. 2662)  The oinochoe, dated between 625 and 600 BC, was produced in Corinth, which was the leader in the current pottery production and its products were exported throughout the whole Mediterranean region. Its findspot is not known. The vessel is a jug with a trefoil-shaped rim and a sometimes uplifted strap handle, that connects the rim and shoulder. The Bonn example is painted in black-figure technique, which was also invented in Corinth. Most of the vessel is painted black and decorated with covering paint and carvings. The shoulder shows a scale pattern and underneath there is a circumferential frieze with deerk, lion, bull, bird and sphinx.;corinthian_oinochoe;Corinthian_oinochoe;This Corinthian oinochoe, housed in the Academic Arts Museum of the University of Bonn, is a fine example of classical pottery from ancient Greece, dating back to between 625 and 600 BC. Originating from Corinth, a city renowned for its pioneering work in ceramic artistry during this period, this jug illustrates the dominant art forms and technical mastery of its time. Corinthian pottery was highly sought after across the Mediterranean, attesting to its wide-reaching influence and popularity.\n\nThe oinochoe itself is a type of jug commonly used in antiquity for pouring wine. It features a distinctive trefoil-shaped rim which was expertly designed to control the flow of liquid, and a robust, sometimes uplifted, strap handle that ensures a secure connection between the rim and the shoulder. This particular piece stands out with its black-figure technique, a revolutionary method developed in Corinth, wherein figures and motifs are painted in black against the natural red of the clay.\n\nThe surface of this artifact is predominantly painted black, with intricate details added using additional paint and carvings. The shoulder of the oinochoe is adorned with an elegant scale pattern, while just below, there is a captivating circumferential frieze depicting a dynamic array of wildlife including deer, lions, bulls, birds, and a sphinx. Each animal is rendered with a keen attention to detail, revealing the artistic sensibilities and symbolic considerations of the time.\n\nThis Corinthian oinochoe is not only a utility vessel but also a piece of art that tells a story of ancient cultural and trade practices, reflecting the artistic, social, and economic dynamics of early Classical Greece. It stands as a testament to the city of Corinth's status as a hub of innovation and craftsmanship in the ancient world.;37.940833, 22.957778
15;Laconian Kylix;Laconian Kylix in the Academic Arts Museum of the University of Bonn (Inv. 3144)  The kylix with a high foot, dated between 550 and 530 BC, was produced in Sparta in the ancient landscape of Laconia. Laconian pottery is recognizable by its whitish coating and decoration, which is concentrated on the inside of the bowl. The outside of the body shows a ray of light and several dark stripes of different width. The inside shows a scene with two bearded, naked men, who are talking to each other. The smaller man on the left handside has a long beard and is carrying a kantharos in his raised hand. The larger man on the right handside has a short beard and does not carry anything. The empty space around the men is filled with birds and floral elements.;laconian_kylix;Laconian_kylix;This Laconian Kylix, produced in the ancient region of Sparta around 550 to 530 BC, represents a remarkable example of ceramic artistry from the Laconian culture. The kylix, a type of drinking cup, features a distinctive high foot characteristic of the design preferences during this period in ancient Greece.\n\nThe pottery of Laconia is renowned for its unique whitish coating, a stylistic signature that sets it apart from other regional productions. The decoration on this kylix is a quintessential representation of this style, with its intricate designs primarily concentrated on the inner surface of the bowl. This focus on the interior suggests an intention for the imagery to be appreciated while the vessel was in use.\n\nThe exterior of the kylix displays a simplistic yet striking decoration with a ray design interspersed with several dark, variably-widthed stripes. These patterns create a compelling contrast to the elaborate scene depicted within the bowl.\n\nInside the kylix, a vivid scene unfolds featuring two bearded, nude men engaged in a discussion. The man on the left, depicted smaller with a longer beard, dynamically holds a kantharos—a type of ancient Greek drinking vessel—aloft, perhaps gesturing as part of their conversation. The larger figure on the right, depicted with a shorter beard, stands empty-handed, which might indicate his role or status in the dialogue. The scene is animated further with the inclusion of birds and floral elements filling the spaces around the figures, contributing to the overall dynamism and filling the composition with life and continuous interest.\n\nThis kylix not only served a functional purpose but also conveyed social and possibly symbolic meanings through its decorative imagery, reflective of the rich cultural fabric of ancient Sparta. The choice of scenes and motifs can provide insights into the social practices, artistic priorities, and daily interactions of the time, making this artifact a valuable piece for both study and appreciation in the field of ancient ceramics.;37.073184, 22.429846
